SKU Code,Location,Qty
300809447008,WD48,0.000
300809447009,WD48,0.000
300810404001,WD48,0.000
300810404005,WD48,0.000
300810404006,WD48,0.000
300811895006,WD48,0.000
300811895012,WD48,0.000
300813295006,WD48,0.000
300813328006,WD48,0.000
300813331006,WD48,0.000
300814034008,WD48,0.000
300814035008,WD48,0.000
300814036008,WD48,0.000
300814038002,WD48,0.000
300814038003,WD48,0.000
300814038004,WD48,0.000
300814038005,WD48,0.000
300814038006,WD48,0.000
300814038007,WD48,0.000
300814060008,WD48,0.000
300814079001,WD48,0.000
300814081006,WD48,0.000
300814137001,WD48,0.000
300814137002,WD48,0.000
300814138001,WD48,0.000
300814138002,WD48,0.000
300814139008,WD48,0.000
300814144001,WD48,0.000
300814144002,WD48,0.000
300814148008,WD48,0.000
300814149008,WD48,0.000
300814150008,WD48,0.000
300814151008,WD48,0.000
300814152008,WD48,0.000
300814153001,WD48,0.000
300814153002,WD48,0.000
300814156002,WD48,0.000
300814156003,WD48,0.000
300814156004,WD48,0.000
300814157002,WD48,0.000
300814157003,WD48,0.000
300814157005,WD48,0.000
300814159001,WD48,0.000
300814159008,WD48,0.000
300814159009,WD48,0.000
300814159010,WD48,0.000
300814160003,WD48,0.000
300814160005,WD48,0.000
300814160006,WD48,0.000
300814160007,WD48,0.000
300814160008,WD48,0.000
300814160009,WD48,0.000
300814162003,WD48,0.000
300814162005,WD48,0.000
300814162006,WD48,0.000
300814162007,WD48,0.000
300814162008,WD48,0.000
300814162009,WD48,0.000
300814163001,WD48,0.000
300814163002,WD48,0.000
300814163004,WD48,0.000
300814163010,WD48,0.000
300814163011,WD48,0.000
300814163012,WD48,0.000
300814164002,WD48,0.000
300814164010,WD48,0.000
300814164011,WD48,0.000
300814164012,WD48,0.000
300814165004,WD48,0.000
300814165010,WD48,0.000
300814165011,WD48,0.000
300814165012,WD48,0.000
300814166008,WD48,0.000
300814166019,WD48,0.000
300814166021,WD48,0.000
300814167008,WD48,0.000
300814167009,WD48,0.000
300814170003,WD48,0.000
300814170004,WD48,0.000
300814170005,WD48,0.000
300814171002,WD48,0.000
300814171004,WD48,0.000
300814171005,WD48,0.000
300814173009,WD48,0.000
300814173010,WD48,0.000
300814174002,WD48,0.000
300814174003,WD48,0.000
300814174004,WD48,0.000
300814175002,WD48,0.000
300814175003,WD48,0.000
300814175004,WD48,0.000
300814175005,WD48,0.000
300814175006,WD48,0.000
300814175007,WD48,0.000
300814176002,WD48,0.000
300814176003,WD48,0.000
300814176004,WD48,0.000
300814176005,WD48,0.000
300814177003,WD48,0.000
300814177004,WD48,0.000
300814177005,WD48,0.000
300814177006,WD48,0.000
300814177007,WD48,0.000
300814178011,WD48,0.000
300814180002,WD48,0.000
300814180003,WD48,0.000
300814180004,WD48,0.000
300814180005,WD48,0.000
300814180006,WD48,0.000
300814183002,WD48,0.000
300814183003,WD48,0.000
300814183004,WD48,0.000
300814183005,WD48,0.000
300814183006,WD48,0.000
300814184004,WD48,0.000
300814184005,WD48,0.000
300814185004,WD48,0.000
300814185010,WD48,0.000
300814185011,WD48,0.000
300814185012,WD48,0.000
300814186006,WD48,0.000
300814186008,WD48,0.000
300814187007,WD48,0.000
300814187008,WD48,0.000
300814187009,WD48,0.000
300814526001,WD48,0.000
300814526002,WD48,0.000
300814526003,WD48,0.000
300814526004,WD48,0.000
300814526005,WD48,0.000
300814627001,WD48,0.000
300814627003,WD48,0.000
300814627004,WD48,0.000
300814627005,WD48,0.000
300814628001,WD48,0.000
300814628002,WD48,0.000
300814628003,WD48,0.000
300814628004,WD48,0.000
300814628005,WD48,0.000
300814629001,WD48,0.000
300814629002,WD48,0.000
300814629003,WD48,0.000
300814629004,WD48,0.000
300814629005,WD48,0.000
300814630001,WD48,0.000
300814630002,WD48,0.000
300814630003,WD48,0.000
300814630004,WD48,0.000
300814630005,WD48,0.000
300814674006,WD48,0.000
300814674012,WD48,0.000
300814674018,WD48,0.000
300814722010,WD48,0.000
300814756001,WD48,0.000
300814756002,WD48,0.000
300814756003,WD48,0.000
300814756004,WD48,0.000
300814756005,WD48,0.000
300815188001,WD48,0.000
300815188003,WD48,0.000
300815188004,WD48,0.000
300815188005,WD48,0.000
300815189002,WD48,0.000
300815189003,WD48,0.000
300815189004,WD48,0.000
300815190001,WD48,0.000
300815190002,WD48,0.000
300815190003,WD48,0.000
300815190004,WD48,0.000
300815190005,WD48,0.000
300815552006,WD48,0.000
300816139003,WD48,0.000
300816139004,WD48,0.000
300816139005,WD48,0.000
300816139006,WD48,0.000
300816139007,WD48,0.000
300816140002,WD48,0.000
300816140004,WD48,0.000
300816140005,WD48,0.000
300816140006,WD48,0.000
300816141003,WD48,0.000
300816141004,WD48,0.000
300816141005,WD48,0.000
300816141006,WD48,0.000
300816141007,WD48,0.000
300816141008,WD48,0.000
300816143003,WD48,0.000
300816143004,WD48,0.000
300816143005,WD48,0.000
300816143007,WD48,0.000
300816144003,WD48,0.000
300816144004,WD48,0.000
300816144005,WD48,0.000
300816144007,WD48,0.000
300816146003,WD48,0.000
300816146004,WD48,0.000
300816146005,WD48,0.000
300816146006,WD48,0.000
300816146007,WD48,0.000
300816147002,WD48,0.000
300816147003,WD48,0.000
300816147004,WD48,0.000
300816147005,WD48,0.000
300816147006,WD48,0.000
300816148006,WD48,0.000
300816148007,WD48,0.000
300816328001,WD48,0.000
300816328007,WD48,0.000
300816328013,WD48,0.000
300816328019,WD48,0.000
300816329018,WD48,0.000
300816329024,WD48,0.000
300816330006,WD48,0.000
300816330012,WD48,0.000
300816331006,WD48,0.000
300816331012,WD48,0.000
300816335001,WD48,0.000
300816369005,WD48,0.000
300816371005,WD48,0.000
300816373005,WD48,0.000
300816374005,WD48,0.000
300816397004,WD48,0.000
300816397005,WD48,0.000
300816397006,WD48,0.000
300816397007,WD48,0.000
300816935006,WD48,0.000
300816936006,WD48,0.000
300816937001,WD48,0.000
300816938001,WD48,0.000
300816939006,WD48,0.000
300816942001,WD48,0.000
300816942007,WD48,0.000
300816942013,WD48,0.000
300816944007,WD48,0.000
300816944031,WD48,0.000
300816946001,WD48,0.000
300816946006,WD48,0.000
300816946011,WD48,0.000
300816946016,WD48,0.000
300817068002,WD48,0.000
300817068004,WD48,0.000
300817068005,WD48,0.000
300817096001,WD48,0.000
300817096005,WD48,0.000
300817096006,WD48,0.000
300817099004,WD48,0.000
300817100004,WD48,0.000
300817101004,WD48,0.000
300817111005,WD48,0.000
300817111007,WD48,0.000
300817128004,WD48,0.000
300817128005,WD48,0.000
300817131004,WD48,0.000
300817131005,WD48,0.000
300817451005,WD48,0.000
300817452005,WD48,0.000
300817455005,WD48,0.000
300817456005,WD48,0.000
300817458005,WD48,0.000
300817459006,WD48,0.000
300817460006,WD48,0.000
300817731006,WD48,0.000
300817741001,WD48,0.000
300817772006,WD48,0.000
300817773006,WD48,0.000
300817774006,WD48,0.000
300817947006,WD48,0.000
300817948006,WD48,0.000
300817949006,WD48,0.000
300817951006,WD48,0.000
300817952006,WD48,0.000
300817953006,WD48,0.000
300818145005,WD48,0.000
300818146005,WD48,0.000
300818153005,WD48,0.000
300818153010,WD48,0.000
300818164001,WD48,0.000
300818164002,WD48,0.000
300818164003,WD48,0.000
300818164004,WD48,0.000
300818164005,WD48,0.000
300818431004,WD48,0.000
300818431005,WD48,0.000
300819278006,WD48,0.000
300819278007,WD48,0.000
300819279006,WD48,0.000
300819279007,WD48,0.000
300819280006,WD48,0.000
300819280007,WD48,0.000
300819282001,WD48,0.000
300819283001,WD48,0.000
300819291003,WD48,0.000
300819291004,WD48,0.000
300819291005,WD48,0.000
300819291006,WD48,0.000
300819842007,WD48,0.000
300820043005,WD48,0.000
300820043010,WD48,0.000
300820043015,WD48,0.000
300820049005,WD48,0.000
300820051005,WD48,0.000
300820052005,WD48,0.000
300820053005,WD48,0.000
300820058006,WD48,0.000
300820058007,WD48,0.000
300820319001,WD48,0.000
300820319002,WD48,0.000
300820319003,WD48,0.000
300821232005,WD48,0.000
300821235005,WD48,0.000
300821236005,WD48,0.000
300821237005,WD48,0.000
300821238006,WD48,0.000
300821238007,WD48,0.000
300821239007,WD48,0.000
300821241006,WD48,0.000
300821241007,WD48,0.000
300821242001,WD48,0.000
300821585006,WD48,0.000
300821585012,WD48,0.000
300821681004,WD48,0.000
300821681005,WD48,0.000
300821682004,WD48,0.000
300821682005,WD48,0.000
300821809006,WD48,0.000
300821809012,WD48,0.000
300821810006,WD48,0.000
300821810012,WD48,0.000
300822537005,WD48,0.000
300822537006,WD48,0.000
300822539005,WD48,0.000
300822539006,WD48,0.000
300822540005,WD48,0.000
300822540006,WD48,0.000
300822541005,WD48,0.000
300822541006,WD48,0.000
300822541011,WD48,0.000
300822541012,WD48,0.000
300822541017,WD48,0.000
300822541018,WD48,0.000
300822542005,WD48,0.000
300822542006,WD48,0.000
300822649005,WD48,0.000
300822649006,WD48,0.000
300822733006,WD48,0.000
300822733007,WD48,0.000
300822733012,WD48,0.000
300822801001,WD48,0.000
300822823001,WD48,0.000
300822823008,WD48,0.000
300822824001,WD48,0.000
300822824008,WD48,0.000
300822825001,WD48,0.000
300822825007,WD48,0.000
300822835001,WD48,0.000
300822835002,WD48,0.000
300822835003,WD48,0.000
300822835004,WD48,0.000
300822837001,WD48,0.000
300822837002,WD48,0.000
300822837003,WD48,0.000
300823286001,WD48,0.000
300823639007,WD48,0.000
300823640001,WD48,0.000
300823640006,WD48,0.000
300823640007,WD48,0.000
300823640012,WD48,0.000
300823641006,WD48,0.000
300823642001,WD48,0.000
300823642006,WD48,0.000
300823643007,WD48,0.000
300823643012,WD48,0.000
300823644001,WD48,0.000
300823644006,WD48,0.000
300824051006,WD48,0.000
300824051007,WD48,0.000
300824052005,WD48,0.000
300824064002,WD48,0.000
300824064003,WD48,0.000
300824325005,WD48,0.000
300824345001,WD48,0.000
300824345003,WD48,0.000
300824345004,WD48,0.000
300824356001,WD48,0.000
300824356002,WD48,0.000
300824356003,WD48,0.000
300824356004,WD48,0.000
300825400006,WD48,0.000
300825401006,WD48,0.000
300825421005,WD48,0.000
300825422005,WD48,0.000
300825423005,WD48,0.000
300825424005,WD48,0.000
300825425005,WD48,0.000
300826424005,WD48,0.000
300826426005,WD48,0.000
300826427005,WD48,0.000
300826432005,WD48,0.000
300826433005,WD48,0.000
300826434005,WD48,0.000
300826437006,WD48,0.000
300826437007,WD48,0.000
300826438006,WD48,0.000
300826438007,WD48,0.000
300826439006,WD48,0.000
300826439007,WD48,0.000
300826440006,WD48,0.000
300826440007,WD48,0.000
300826441006,WD48,0.000
300826441007,WD48,0.000
300826442007,WD48,0.000
300826443006,WD48,0.000
300826443007,WD48,0.000
300826445006,WD48,0.000
300826445007,WD48,0.000
300826459001,WD48,0.000
300826459002,WD48,0.000
300826459003,WD48,0.000
300826459004,WD48,0.000
300826459005,WD48,0.000
300827281001,WD48,0.000
300827499006,WD48,0.000
300827499007,WD48,0.000
300827499013,WD48,0.000
300827499014,WD48,0.000
300827500006,WD48,0.000
300827500007,WD48,0.000
300827500013,WD48,0.000
300827500014,WD48,0.000
300827501006,WD48,0.000
300827501007,WD48,0.000
300827501013,WD48,0.000
300827501014,WD48,0.000
300827502006,WD48,0.000
300827502007,WD48,0.000
300827502013,WD48,0.000
300827502014,WD48,0.000
300827505006,WD48,0.000
300827505007,WD48,0.000
300828165006,WD48,0.000
300828166006,WD48,0.000
300828167006,WD48,0.000
300828168006,WD48,0.000
300828175006,WD48,0.000
300828176006,WD48,0.000
300828177006,WD48,0.000
300828180006,WD48,0.000
300828181006,WD48,0.000
300828182006,WD48,0.000
300828241005,WD48,0.000
300828327006,WD48,0.000
300828327007,WD48,0.000
300828328006,WD48,0.000
300828328007,WD48,0.000
300828332001,WD48,0.000
300828332008,WD48,0.000
300828337005,WD48,0.000
300828337006,WD48,0.000
300828337011,WD48,0.000
300828337012,WD48,0.000
300828354005,WD48,0.000
300828355005,WD48,0.000
300828356005,WD48,0.000
300828358005,WD48,0.000
300828359005,WD48,0.000
300828360005,WD48,0.000
300828361005,WD48,0.000
300828734005,WD48,0.000
300828734006,WD48,0.000
300829685006,WD48,0.000
300829685007,WD48,0.000
300830444004,WD48,0.000
300830593001,WD48,0.000
300830593002,WD48,0.000
300830593003,WD48,0.000
300830593004,WD48,0.000
300830848004,WD48,0.000
300830848005,WD48,0.000
300831309005,WD48,0.000
300831309006,WD48,0.000
300831309017,WD48,0.000
300831309023,WD48,0.000
300831309024,WD48,0.000
300831311006,WD48,0.000
300831311007,WD48,0.000
300831360001,WD48,0.000
300831360002,WD48,0.000
300831360003,WD48,0.000
300831360004,WD48,0.000
300831360005,WD48,0.000
300831360006,WD48,0.000
300831384001,WD48,0.000
300831707005,WD48,0.000
300831726001,WD48,0.000
300831726002,WD48,0.000
300831726003,WD48,0.000
300831726004,WD48,0.000
300831730021,WD48,0.000
300831730022,WD48,0.000
300831730023,WD48,0.000
300831730024,WD48,26.000
300831735006,WD48,0.000
300831735007,WD48,0.000
300831736006,WD48,0.000
300831736007,WD48,0.000
300831737006,WD48,0.000
300831737007,WD48,0.000
300831738006,WD48,0.000
300831738007,WD48,0.000
300831742001,WD48,0.000
300831749005,WD48,0.000
300832810001,WD48,0.000
300833505001,WD48,0.000
300833768001,WD48,0.000
300833769001,WD48,0.000
300836155001,WD48,0.000
300836155002,WD48,0.000
300836155003,WD48,0.000
300836155004,WD48,0.000
300836155005,WD48,0.000
300836155006,WD48,0.000
300836368003,WD48,0.000
300836368004,WD48,0.000
300836368005,WD48,0.000
300836369002,WD48,0.000
300836369003,WD48,0.000
300836369004,WD48,0.000
300836369005,WD48,0.000
300836370002,WD48,0.000
